,nombreh_id,comentario,p_puntuacion,p_fecha_comen
18,Grand Victoria Boutique Hotel,Excellent ,5.0,2019-02-05
19,Grand Victoria Boutique Hotel,"Good It was pretty, my room was spacious enough, and the premises were clean except for the first room that I was brought to. There were stains on the end table by the bed and the floor was stained, dirty and had hair on it, as was evidenced when I removed my white socks and they were grimy and had to be thrown away. As a recompense, as I was checking out and pressed the matter, they offered me a free dessert, which made me laugh. BUT, the staff generally was professional and pleasant. The hotel restaurant's food was only so so.",4.0,2019-01-10
20,Sonesta Hotel Loja,Excellent Gracias x el servicio ,5.0,2022-10-07
21,Sonesta Hotel Loja,Excellent The hotel itself is very nice and pleasant. The view from the upper rooms is unbeatable and a big plus is the amazing staff and the great food. I had a great stay and wish I was able to stay longer. ,5.0,2022-07-06
22,Sonesta Hotel Loja,Excellent Awesome service and delicious buffet breakfast. The parking is a lot difficult to access.,5.0,2022-05-24
23,Sonesta Hotel Loja,Excellent The property was very nice and very close to the center of town where we walked to. Lots of sites to see in the area,5.0,2022-04-18
24,Sonesta Hotel Loja,"Good Great time in Loja.
Very nice city.",4.0,2022-04-04
25,Sonesta Hotel Loja,Excellent ,5.0,2021-11-16
26,Sonesta Hotel Loja,Excellent ,5.0,2021-11-10
27,Sonesta Hotel Loja,Excellent They have quality rooms and the facilities. The staff is amazing and will go out of their way to help,5.0,2021-08-14
28,Sonesta Hotel Loja,"Excellent The staff is amazing. The rooms are luxurious and comfortable. Pool, the sauna and the gym are great. Breakfast is varied and delicious. Best hotel I have stayed in Ecuador
 I will definitely return next time I am in Loja",5.0,2021-08-11
29,Sonesta Hotel Loja,Excellent It was a great experience! ,5.0,2021-07-15
30,Hotel Podocarpus,Okay Location is good. Breakfast is really poor.,3.0,2022-05-22
31,Hotel Podocarpus,"Good Nice clean, comfortable room, and excellent value",4.0,2022-02-26
32,Hotel Podocarpus,Okay To much street noise  at night in front rooms,3.0,2021-11-28
33,Hotel Podocarpus,"Excellent Great location close to sightseeing, food, shopping with a helpful friendly staff. Comfortable clean rooms with a bath that provides a good hot shower. Well worth the money.",5.0,2021-09-20
34,Hotel Podocarpus,"Excellent Everything was perfect. The staff were very nice from the beginning to the end of our journey. The room was impeccable and the breakfast was delicious. Without a doubt, I will book a room in Hotel Podocarpus next time I will be in Loja. ",5.0,2020-12-29
35,Hotel Podocarpus,Excellent Great location service was great people were helpfull.,5.0,2019-04-20
36,Hotel Podocarpus,Good Good location. Pleasant staff. Near all places of interest,4.0,2019-03-13
37,Hotel Podocarpus,"Good Good service, good location, personal friendly... I’ll be back",4.0,2018-11-15
38,Hotel Podocarpus,"Okay The staff was kind enough. The rooms are very dated. They are also very noisy. The bed sleeps like a rack. The bathroom was clumsy and hard to use. The WiFi was almost nonexistent. I had to time it just right just to check my email. We were booked for 5 nights, we left after 2.",3.0,2018-02-09
39,Hotel Podocarpus,"Okay The good: The hotel is clean and well maintained. It is centrally located within easy walking distance of shopping, dining and tourist sights in Loja. The breakfast was good. The water was hot enough to shower comfortably after a wait to get warm. The wifi was pretty reliable.  The staff was generally friendly and tried to be helpful. Water dispensers were available in the lobby and on our floor. 
The bad: our room was in the front of the hotel and it was loud even by Ecuadorian standards.  The noise culminated with the police using a loudspeaker to intervene in a domestic situation taking place across the street with a bullhorn at 0200. The beds gave new meaning to ""firm"".  It was like sleeping on a board with a blanket on top.  They were very uncomfortable.  The staff speaks very little English and with my limited Spanish, it was difficult at times.  To be fair, they were very patient and nice about my language shortcomings. There was a misunderstanding about the number of people in our party. There were 4 instead of the 2 listed on the reservation.  Someone spoke to the other people in the group about some additional charges but it was apparently straightened out. When I checked out there was no mention of it. I assume that it was because the hotel is new to Expedia. See more",3.0,2017-02-22
40,Hotel Libertador,Terrible ,1.0,2019-09-09
41,Hotel Libertador,"Excellent Excellent location; walkable. The receptionists were excellent and very helpful. The bell boy Angel was excellent! He did his best to always speak English to us and to help us with maps, etc. Our room was perfect. We had a buffet breakfast which was wonderful. We would definitely stay there again.",5.0,2019-08-19
42,Hotel Libertador,Okay ,3.0,2019-08-11
43,Hotel Libertador,Excellent Great value. We were very pleased with our stay. Would return again and hope to do so very soon.,5.0,2019-01-24
44,Hotel Libertador,Excellent ,5.0,2016-07-03
45,Hotel Libertador,Okay ,3.0,2022-01-02
46,Hotel Libertador,Good ,4.0,2019-10-23
47,Hotel Libertador,"Excellent El personal que atiende es muy servicial y diligente y la ubicación es muy buena para hacerle turismo.  
Un pequeño detalle: la refrigeradora hace un poco de bulla,  sobre todo en la noche es más notorio. ",5.0,2019-10-01
48,Hotel Libertador,Good ,4.0,2019-09-14
49,Hotel Libertador,"Excellent muy buen hotel. habitaciones amplias, pero servicios higienicos necesitan mas ventilacion.
excelente desayuno.",5.0,2019-08-29
50,Zamorano Real Hotel,Good ,4.0,2019-05-19
51,Zamorano Real Hotel,"Excellent Central location, helpful staff, good greakfast, comfortable room, bathtub, hot water",5.0,2019-01-31
52,Zamorano Real Hotel,"Okay The access to the hotel is very narrow road, to go down into the parking is incredibley steep and to come back up worst, Limited parking space. 
We stayed there 3 different times, the first 2 times they had some kind of parties happening there, and was loud.   No sleep till about 2;30 AM
Last time was okay. 

Staff is friendly and helpful",3.0,2019-01-03
53,Zamorano Real Hotel,"Good The room was comfortable in line with their star rating. Spacious room but the window shades not dark enough to offset the street  lights. The hotel is very close to a church which makes impossible to get a good night sleep because every hour the church bell goes off.  The area is busy during the day but very quiet at night. The breakfasts is well below average.  Also, hotel has no AC",4.0,2018-10-25
54,Zamorano Real Hotel,"Excellent Zamorano Real is located in central Loja close to everything, and the facilities are beautifully kept. The best part is the staff who were friendly and welcoming, calling taxis for us, and keeping our luaggage safe for a while after check-out. There was a little street noise around 10-11 but all quieted down after that- the beds and pillows are wonderful, and we slept well. Breakfast was good.",5.0,2018-04-10
55,Zamorano Real Hotel,Good Great hotel only disappointment was the dirty carpet ,4.0,2018-02-23
56,Zamorano Real Hotel,"Good The hotel is confortable and quite new. The rooms and the service is nice; however we had a problem with the access: the roads were broken due to cable and pipes instalation all around the hotel. We had to walk two blocks pulling our luggage and park our car six blocks away, that was disgusting because we weren't tell in advance. ",4.0,2017-09-15
57,Zamorano Real Hotel,"Excellent In a country of ""good enough"", this was a pleasant surprise. A clean, modern hotel with helpful staff. The hotel has its own parking which is a bonus (very tight). I would definitely choose this hotel again",5.0,2017-01-04
58,Zamorano Real Hotel,"Good After a shaky late Sunday night check in because of a language barrier and a misunderstanding the Zamorano Real was Really a wonderful treat! Clean, comfortable, great location, HOT shower, great staff.... super helpful people, nice breakfast.  One small complaint....the room walls are thin....I can hear and smell the people in the next room.  ",4.0,2016-11-08
59,Zamorano Real Hotel,Okay ,3.0,2016-08-17
60,Hostería Paraíso,Excellent ,5.0,2022-10-10
61,Hostería Paraíso,"Good Lots of great things about this place, specially enjoyed the beautiful grounds, the restaurant and the friendly staff. It's also located a walking distance from Vilcanamba's central park ",4.0,2022-10-09
62,Hostería Paraíso,Good Beautiful setting.,4.0,2022-10-09
63,Hostería Paraíso,"Excellent We loved the gardens and the pool area. Good breakfast, responsive staff. The hot tub, after horseback riding, was just the ticket. Would definitely recommend this place.",5.0,2022-04-11
64,Hostería Paraíso,Excellent ,5.0,2022-03-18
65,Hostería Paraíso,Excellent ,5.0,2022-01-02
66,Hostería Paraíso,"Good Beautiful pool area. Very nice staff.
Rooms clean but dark",4.0,2021-08-02
67,Hostería Paraíso,Excellent My spouse and I had an absolutely wonderful stay!  The owners and her staff were so helpful and kind. We look forward to staying there again. ,5.0,2021-07-16
68,Hostería Paraíso,Excellent ,5.0,2021-07-13
69,Hostería Paraíso,Excellent ,5.0,2021-07-04
70,Hotel Samuria,"Good Conveniently located, clean, very secure and safe area.  I highly recommend this hotel if you are traveling to Zamora.",4.0,2021-08-01
71,Oro Verde Loja,"Excellent Excellent hotel! Very clean, comfortable , excellent customer service and great location!",5.0,2022-08-15
72,Oro Verde Loja,"Excellent Todo estuvo bien, un par de cosas para mejorar en la variedad del desayuno y dentro de la habitación que no funcionaba la balanza. Pero tuve una estupenda estadía y con gusto regreso y la recomiendo.
MHinostroza",5.0,2022-07-25
73,Oro Verde Loja,Excellent Was nice ,5.0,2022-06-03
74,Oro Verde Loja,"Excellent Great attention. 
Ricardo and staff are on point! ",5.0,2022-05-24
75,Oro Verde Loja,Okay ,3.0,2022-04-29
76,Oro Verde Loja,Excellent Great hotel with excellent staff - centrally located ,5.0,2017-11-28
77,Oro Verde Loja,"Excellent Great hotel with excellent dining, centrally located,  is without a doubt one of the best options to stay. A true jewel where you don't expect it. ",5.0,2017-10-30
78,Oro Verde Loja,Excellent Hermoso hotel,5.0,2022-08-30
79,Oro Verde Loja,"Excellent Una grata sorpresa, supero mis expectativas. Muy buena atención del personal del hotel y del restaurante, sin lugar a duda muy recomendable.",5.0,2017-11-24
80,Oro Verde Loja,Excellent Excelente,5.0,2017-09-16
81,Grand Victoria Boutique Hotel,"Good Very good hotel, the staff very friendly and the hotel very clean ",4.0,2022-07-19
82,Grand Victoria Boutique Hotel,"Excellent The place was good, great location and very respectful for COVID times. Overall experience was great",5.0,2021-04-05
83,Grand Victoria Boutique Hotel,"Excellent The hotel is lovely but rooms are not air conditioned or heated- not even a ceiling fan. No windows to the street only windows that open towards the hallway so no ventilation. The suites do have windows to the street that will allow for ventilation. The staff went above and beyond fulfilling any and all requests. The hotel is classy in appearance and the neighborhood seemed safe. There is a pharmacy at the corner of the street next to a small bakery. I would stay again but only in a suite- the staff made up any short comings the property had. Also, if you don’t speak Spanish things may get a bit difficult but pls don’t be rude to them. See more",5.0,2021-02-18
84,Grand Victoria Boutique Hotel,Excellent ,5.0,2020-03-12
85,Grand Victoria Boutique Hotel,"Good Fabulous hotel, just wish everything wasn't closed for Carnival. First receptionist spoke some English and was very helpful. The next day the receptionist spoke no English and couldn't even tell us where there might be an open restaurant. Turns out we found a delicious restaurant right in the hotel!",4.0,2020-02-26
86,Grand Victoria Boutique Hotel,Excellent The reception was very polite  and told us about what there’s to see and how much it was to get to places  room was clean and very quiet   I would recommend to everyone the city was very safe to go out,5.0,2019-04-29
87,Grand Victoria Boutique Hotel,Excellent ,5.0,2019-04-29
88,Grand Victoria Boutique Hotel,Excellent charming hotel - we would definitely stay there again,5.0,2019-02-21
89,Grand Victoria Boutique Hotel,Excellent ,5.0,2019-02-05
90,Grand Victoria Boutique Hotel,"Good It was pretty, my room was spacious enough, and the premises were clean except for the first room that I was brought to. There were stains on the end table by the bed and the floor was stained, dirty and had hair on it, as was evidenced when I removed my white socks and they were grimy and had to be thrown away. As a recompense, as I was checking out and pressed the matter, they offered me a free dessert, which made me laugh. BUT, the staff generally was professional and pleasant. The hotel restaurant's food was only so so.",4.0,2019-01-10
91,Sonesta Hotel Loja,Excellent Gracias x el servicio ,5.0,2022-10-07
92,Sonesta Hotel Loja,Excellent The hotel itself is very nice and pleasant. The view from the upper rooms is unbeatable and a big plus is the amazing staff and the great food. I had a great stay and wish I was able to stay longer. ,5.0,2022-07-06
93,Sonesta Hotel Loja,Excellent Awesome service and delicious buffet breakfast. The parking is a lot difficult to access.,5.0,2022-05-24
94,Sonesta Hotel Loja,Excellent The property was very nice and very close to the center of town where we walked to. Lots of sites to see in the area,5.0,2022-04-18
95,Sonesta Hotel Loja,"Good Great time in Loja.
Very nice city.",4.0,2022-04-04
96,Sonesta Hotel Loja,Excellent ,5.0,2021-11-16
97,Sonesta Hotel Loja,Excellent ,5.0,2021-11-10
98,Sonesta Hotel Loja,Excellent They have quality rooms and the facilities. The staff is amazing and will go out of their way to help,5.0,2021-08-14
99,Sonesta Hotel Loja,"Excellent The staff is amazing. The rooms are luxurious and comfortable. Pool, the sauna and the gym are great. Breakfast is varied and delicious. Best hotel I have stayed in Ecuador
 I will definitely return next time I am in Loja",5.0,2021-08-11
100,Sonesta Hotel Loja,Excellent It was a great experience! ,5.0,2021-07-15
101,Hotel Podocarpus,Okay Location is good. Breakfast is really poor.,3.0,2022-05-22
102,Hotel Podocarpus,"Good Nice clean, comfortable room, and excellent value",4.0,2022-02-26
103,Hotel Podocarpus,Okay To much street noise  at night in front rooms,3.0,2021-11-28
104,Hotel Podocarpus,"Excellent Great location close to sightseeing, food, shopping with a helpful friendly staff. Comfortable clean rooms with a bath that provides a good hot shower. Well worth the money.",5.0,2021-09-20
105,Hotel Podocarpus,"Excellent Everything was perfect. The staff were very nice from the beginning to the end of our journey. The room was impeccable and the breakfast was delicious. Without a doubt, I will book a room in Hotel Podocarpus next time I will be in Loja. ",5.0,2020-12-29
106,Hotel Podocarpus,Excellent Great location service was great people were helpfull.,5.0,2019-04-20
107,Hotel Podocarpus,Good Good location. Pleasant staff. Near all places of interest,4.0,2019-03-13
108,Hotel Podocarpus,"Good Good service, good location, personal friendly... I’ll be back",4.0,2018-11-15
109,Hotel Podocarpus,"Okay The staff was kind enough. The rooms are very dated. They are also very noisy. The bed sleeps like a rack. The bathroom was clumsy and hard to use. The WiFi was almost nonexistent. I had to time it just right just to check my email. We were booked for 5 nights, we left after 2.",3.0,2018-02-09
110,Hotel Podocarpus,"Okay The good: The hotel is clean and well maintained. It is centrally located within easy walking distance of shopping, dining and tourist sights in Loja. The breakfast was good. The water was hot enough to shower comfortably after a wait to get warm. The wifi was pretty reliable.  The staff was generally friendly and tried to be helpful. Water dispensers were available in the lobby and on our floor. 
The bad: our room was in the front of the hotel and it was loud even by Ecuadorian standards.  The noise culminated with the police using a loudspeaker to intervene in a domestic situation taking place across the street with a bullhorn at 0200. The beds gave new meaning to ""firm"".  It was like sleeping on a board with a blanket on top.  They were very uncomfortable.  The staff speaks very little English and with my limited Spanish, it was difficult at times.  To be fair, they were very patient and nice about my language shortcomings. There was a misunderstanding about the number of people in our party. There were 4 instead of the 2 listed on the reservation.  Someone spoke to the other people in the group about some additional charges but it was apparently straightened out. When I checked out there was no mention of it. I assume that it was because the hotel is new to Expedia. See more",3.0,2017-02-22
111,Hotel Libertador,Terrible ,1.0,2019-09-09
112,Hotel Libertador,"Excellent Excellent location; walkable. The receptionists were excellent and very helpful. The bell boy Angel was excellent! He did his best to always speak English to us and to help us with maps, etc. Our room was perfect. We had a buffet breakfast which was wonderful. We would definitely stay there again.",5.0,2019-08-19
113,Hotel Libertador,Okay ,3.0,2019-08-11
114,Hotel Libertador,Excellent Great value. We were very pleased with our stay. Would return again and hope to do so very soon.,5.0,2019-01-24
115,Hotel Libertador,Excellent ,5.0,2016-07-03
116,Hotel Libertador,Okay ,3.0,2022-01-02
117,Hotel Libertador,Good ,4.0,2019-10-23
118,Hotel Libertador,"Excellent El personal que atiende es muy servicial y diligente y la ubicación es muy buena para hacerle turismo.  
Un pequeño detalle: la refrigeradora hace un poco de bulla,  sobre todo en la noche es más notorio. ",5.0,2019-10-01
119,Hotel Libertador,Good ,4.0,2019-09-14
120,Hotel Libertador,"Excellent muy buen hotel. habitaciones amplias, pero servicios higienicos necesitan mas ventilacion.
excelente desayuno.",5.0,2019-08-29
121,Zamorano Real Hotel,Good ,4.0,2019-05-19
122,Zamorano Real Hotel,"Excellent Central location, helpful staff, good greakfast, comfortable room, bathtub, hot water",5.0,2019-01-31
123,Zamorano Real Hotel,"Okay The access to the hotel is very narrow road, to go down into the parking is incredibley steep and to come back up worst, Limited parking space. 
We stayed there 3 different times, the first 2 times they had some kind of parties happening there, and was loud.   No sleep till about 2;30 AM
Last time was okay. 

Staff is friendly and helpful",3.0,2019-01-03
124,Zamorano Real Hotel,"Good The room was comfortable in line with their star rating. Spacious room but the window shades not dark enough to offset the street  lights. The hotel is very close to a church which makes impossible to get a good night sleep because every hour the church bell goes off.  The area is busy during the day but very quiet at night. The breakfasts is well below average.  Also, hotel has no AC",4.0,2018-10-25
125,Zamorano Real Hotel,"Excellent Zamorano Real is located in central Loja close to everything, and the facilities are beautifully kept. The best part is the staff who were friendly and welcoming, calling taxis for us, and keeping our luaggage safe for a while after check-out. There was a little street noise around 10-11 but all quieted down after that- the beds and pillows are wonderful, and we slept well. Breakfast was good.",5.0,2018-04-10
126,Zamorano Real Hotel,Good Great hotel only disappointment was the dirty carpet ,4.0,2018-02-23
127,Zamorano Real Hotel,"Good The hotel is confortable and quite new. The rooms and the service is nice; however we had a problem with the access: the roads were broken due to cable and pipes instalation all around the hotel. We had to walk two blocks pulling our luggage and park our car six blocks away, that was disgusting because we weren't tell in advance. ",4.0,2017-09-15
128,Zamorano Real Hotel,"Excellent In a country of ""good enough"", this was a pleasant surprise. A clean, modern hotel with helpful staff. The hotel has its own parking which is a bonus (very tight). I would definitely choose this hotel again",5.0,2017-01-04
129,Zamorano Real Hotel,"Good After a shaky late Sunday night check in because of a language barrier and a misunderstanding the Zamorano Real was Really a wonderful treat! Clean, comfortable, great location, HOT shower, great staff.... super helpful people, nice breakfast.  One small complaint....the room walls are thin....I can hear and smell the people in the next room.  ",4.0,2016-11-08
130,Zamorano Real Hotel,Okay ,3.0,2016-08-17
131,Hostería Paraíso,Excellent ,5.0,2022-10-10
132,Hostería Paraíso,"Good Lots of great things about this place, specially enjoyed the beautiful grounds, the restaurant and the friendly staff. It's also located a walking distance from Vilcanamba's central park ",4.0,2022-10-09
133,Hostería Paraíso,Good Beautiful setting.,4.0,2022-10-09
134,Hostería Paraíso,"Excellent We loved the gardens and the pool area. Good breakfast, responsive staff. The hot tub, after horseback riding, was just the ticket. Would definitely recommend this place.",5.0,2022-04-11
135,Hostería Paraíso,Excellent ,5.0,2022-03-18
136,Hostería Paraíso,Excellent ,5.0,2022-01-02
137,Hostería Paraíso,"Good Beautiful pool area. Very nice staff.
Rooms clean but dark",4.0,2021-08-02
138,Hostería Paraíso,Excellent My spouse and I had an absolutely wonderful stay!  The owners and her staff were so helpful and kind. We look forward to staying there again. ,5.0,2021-07-16
139,Hostería Paraíso,Excellent ,5.0,2021-07-13
140,Hostería Paraíso,Excellent ,5.0,2021-07-04
141,Hotel Samuria,"Good Conveniently located, clean, very secure and safe area.  I highly recommend this hotel if you are traveling to Zamora.",4.0,2021-08-01
142,Hotel La Kapital,Excellent I like all,5.0,2022-03-02
143,Hotel La Kapital,Excellent ,5.0,2021-10-04
144,Hotel La Kapital,Terrible ,1.0,2021-09-21
145,Hotel Novalux,Good My room was very clean and comfortable. The staff were helpful and very nice. The price was reasonable considering there are not a lot of amenities. ,4.0,2022-10-19
146,Hotel Novalux,Excellent ,5.0,2019-09-21
147,J&E hotel,Excellent ,5.0,2020-12-29
148,J&E hotel,Excellent ,5.0,2020-01-16
149,J&E hotel,Okay Towels were soiled and small.  Hot water was scarce.  Took a long time to come out.,3.0,2019-03-06
150,J&E hotel,"Terrible Was terrible.. worse experience in a hotel !! Room smells like sewer ,dirty,etc.etc.dont ever go there",1.0,2019-03-05
151,J&E hotel,Okay Cheap scary coffee and breákfast quiet for sleeping,3.0,2019-01-19
152,J&E hotel,Excellent Great place!,5.0,2018-07-30
153,J&E hotel,"Good Great value for an overnight stay. Pleasant and friendly staff. Parking is a bit of a problem as its an underground ramp. The room had no hot water but the staff accommodated us by allowing us to use another rooms shower. Very noisy at night, lots of dog barking. Rooms were new spacious clean and new comfortable beds. Good value for the money.",4.0,2018-07-24
154,J&E hotel,Good ,4.0,2022-10-02
155,J&E hotel,Excellent ,5.0,2022-08-20
156,J&E hotel,Okay ,3.0,2022-06-02
157,Hotel La Algodonera,Excellent ,5.0,2019-09-29
158,Hotel La Algodonera,"Excellent The hotel is beautiful, a new property but nevertheless with a great history in the vecinity with the old Ambato cotton fabric. Quiet stay and very comfortable bed. The service given by the staff was superb from entry until check out. A place with a fantastic view of the mountains of Ambato and very nice resting spot for the night. Good pressure in the shower for a relaxing time. Recommended.",5.0,2019-08-12
159,Hotel La Algodonera,Excellent Muy bueno el baño limpio ,5.0,2021-10-23
160,Hotel La Algodonera,Excellent ,5.0,2020-10-05
161,Hotel La Algodonera,Good ,4.0,2020-10-05
162,Hotel La Algodonera,"Terrible El servicio es malo, la recepcion no es buena. Me quisieron cobrar 2 veces. TERRIBLE",1.0,2019-11-03
163,Hostal Runa Huasi,"Excellent Si te gusta la naturaleza y conocer culturas y trdiciones, este es el lugar ideal. Alonzo es un anfitrion espectacular y sus historias son increibles! ",5.0,2022-10-17
164,Hostería El Tisaleño,Excellent ,5.0,2019-07-22
165,Ayamtai Jea Guest House,"Excellent Foi o melhor lugar que nos hospedamos em toda a viagem ao Equador. Sebastian e Maria são extremamente gentis e hospitaleiros. A casa é linda, muito limpa.Os hospédes não entram com seus calçados, o que favorece ainda mais a limpeza e tem um aroma de eucalipto muito agradável. O quarto é bom, muito espaçoso. Bem localizado, muito perto do Centro, mas em uma área ao mesmo tempo bem tranquila. Voltaria a me hospedar novamente, sem a menor sombra de dúvidas e super indico. ",5.0,2018-01-18
166,Hotel La Casa Amarilla City,"Excellent This friendly, funky, family-run guesthouse offers tremendous value for your money. Conveniently located, generally quiet. I enjoyed hanging out in the deck too.",5.0,2022-10-08
167,Hotel La Casa Amarilla City,"Excellent From the outside, you might think you made a mistake!  But then you go to the entrance and you see a beautiful eco-hotel.  Saul is an amazing host!  He served ya a delicious breakfast in the morning and then was our tour guide for the day.  He also helped ya fix our tire that someone had let the air out of.   The room we stayed in was spacious and comfortable and “rustic” in a good way.  I highly recommend this place to stay...and suggest you spend more than a day in Baños.  ",5.0,2018-12-31
168,Hotel La Casa Amarilla City,Excellent Hotel is owned by a local family who were all really nice and friendly. Darwin’s dog Pichuca was also really cute! Rooms were big and shower temperature and pressure was good. Breakfast was simple but good and really fresh.,5.0,2018-07-22
169,Hotel La Casa Amarilla City,"Terrible No privacy in room (window can't be completely blocked with curtain, people walking by, and zero sound proofing, no working wifi.  Never tried hot water, left asap in morning.  But owners were very nice and tried to apologize and accomodate. 1 or 2 extra rooms were under construction(almost done) so could be better in future.",1.0,2017-09-13
170,Hotel La Casa Amarilla City,Terrible ,1.0,2020-03-17
171,Hotel La Casa Amarilla City,"Excellent Petit hôtel très mignon, géré par un proprio très attentionné et sympathique qui a vécu de nombreuses années en Suisse avant de revenir en Equateur.
On est baigné dans une atmosphère très familiale, et on a le privilège d'être légèrement décalés de la rue, ce qui limite les nuisances sonores. 
Rencontres avec les autres voyageurs  facilitées grâce à la cuisine commune très pratique, toit terrasse très agréable également.
Petit déjeuner pas mal du tout, avec du très très bon pain !
A noter :
- les chambres paraissent inégales, ne pas hésiter à les visiter pour choisir. 
- pour les excursions, il est préférable de les réserver directement dans les agences afin d'éviter la commission de l'hôtel.See more",5.0,2020-02-19
172,Hotel La Casa Amarilla City,Excellent ,5.0,2020-02-16
173,Hotel La Casa Amarilla City,"Excellent Excelente ubicación y atención de Saúl. Muy familiar, buena señal de wifi y tv. Dejamos la sugerencia para modificar mobiliario ya que el espacio disponible es reducido. Buen asesoramiento para actividades a realizar. Imperdible el tour a la selva con Saúl y Germán como guías.",5.0,2018-11-21
174,Hotel La Casa Amarilla City,"Excellent Excelente la atención y la amabilidad de sus dueños, el desayuno muy fresco y natural, el lugar es bien agradable, regresaría de nuevo :)",5.0,2018-11-05
175,Hotel La Casa Amarilla City,Excellent ,5.0,2018-10-16
176,La Casa del Molino Blanco B&B,Excellent Nice quiet place. A little far from the city center.,5.0,2022-10-07
177,La Casa del Molino Blanco B&B,Okay ,3.0,2021-12-01
178,La Casa del Molino Blanco B&B,Excellent Very clean and comfortable with good shared facilities. Great for a base for a few days! ,5.0,2021-05-18
179,La Casa del Molino Blanco B&B,"Okay I don't want to be a bad guy, but I got there and no one was there to greet me.  Possibly there was some kind of confusion or who knows.   But I chose not to stay at their place. and I wish them the best.",3.0,2021-03-21
180,La Casa del Molino Blanco B&B,"Good Require fifteen minutes walking uphill to reach it. Nice layout of room and patio. Only concern too dark while staying in room, not able to read during the night.",4.0,2019-11-29
181,La Casa del Molino Blanco B&B,"Okay Out of the centre of town but closer to one of the thermal baths, bed was comfortable and shower was good, WiFi was good as long as the hostel isn't full. Good idea of energy saving at the hostel. Nice set up for movies. When the hostel is full it can be very noisy, breakfast was nice but economical. ",3.0,2019-07-23
182,La Casa del Molino Blanco B&B,Excellent ,5.0,2019-03-04
183,La Casa del Molino Blanco B&B,"Excellent I don’t know how anyone could rate this place less than excellent...especially considering the awesome staff. Whomever gave negative reviews must be very difficult guests because the staff far exceeded my expectations.

*Clean, economical rooms
*Beer, bottled drinks, wine, even massages in house that you can purchase onsite
*the most helpful staff ever...booked tours for us for way cheaper than we could find on our own, English speaking, and consistently went above and beyond. Helped us avoid missing our flight by explaining the am bus schedule and that we wouldn’t make it to Quito in time. Then she booked a taxi for us (our only option as we had to leave at 3am) and GOT UP AT 3 AM to escort us to the taxi!
*very delicious breakfast that changes everyday. You even have the option to add to it for additional cost. Great, friendly cook.
*Cheap laundry service!

Say here, you won’t regret it. See more",5.0,2018-11-20
184,La Casa del Molino Blanco B&B,"Excellent Great space, friendly staff and and helpful staff. Location out of the way but facilities make up for it.",5.0,2018-10-24
185,La Casa del Molino Blanco B&B,"Good Great breakfast, good, clean, spacious bathroom and quiet location. It’s up the hill away from the bustle & noise of the centre of Baños but everything is a 5 minute walk. 
Met lovely people here. ",4.0,2018-06-30
