,nombreh_id,comentario,fechac
45,SUITE 3: COZY 7th FLOOR SUITE IN QUITO’S HEART,"This is a terrific little one bedroom apartment in an area of Quito that has a lot of high-rise apartment buildings, offices, retail, restaurants, and a wonderful park.Marco’s communication is outstanding and the check in process is super easy. He has really gone above and beyond to be sure the apartment is fully equipped with everything it needs. It even has regular and orthopedic memory foam pillows on the bed ;-)As for the essentials, the bed is comfortable and the shower is great. Although we didn’t use the clothes washing machine or the stove while we were there, we appreciated having a microwave and coffee maker available.We would definitely stay here again!",2022-08-01
46,SUITE 3: COZY 7th FLOOR SUITE IN QUITO’S HEART,The suite is well located in the north-centre of Quito. It is close to the main shopping centres and has easy access to the bus line.,2022-07-01
47,Unique Experience Design Loft: A forest,"I had an amazing time at Bettina house, definitely recommend",2022-10-01
48,Unique Experience Design Loft: A forest,"I really enjoyed the apartment it is absolutely gorgeous and the rooftop has stunning views of the historic downtown. The bed and blankets were extremely comfortable. I would not walk around the neighborhood at night, it isn’t safe.",2022-10-01
49,Unique Experience Design Loft: A forest,Excellent apartment in an very good location in the historic district in Quito. The apartment has everything to make your stay confortable and enjoyable. It is just a walking distance from all the major tourist attractions in the historic center of Quito.The hosts were very easy to contact and responded in a timely matter. I will stay there again if I were to come back to Quito. Excellent place. I give it a 5 stars rating.,2022-10-01
50,Unique Experience Design Loft: A forest,"I absolutely loved my stay here. The fact that the hosts designed and implemented this absolute marvel of a space is unbelievable in itself. It feels almost clandestine that I stayed in the Forest. Beautiful architecture, brutalism and exposed walls and ceilings. Aesthetically as well as practically speaking this place is worth a visit. Thankyou so much Bettina and Aquiles for my stay here.",2022-09-01
51,Unique Experience Design Loft: A forest,"We had such a brilliant time staying here, the place is amazing and we would highly recommend it... The architecture and style is so unique! The hosts were really helpful in recommending local restaurants etc. and arranging pick up and drop off to the airport. Definitely stay here you won't be disappointed!",2022-09-01
52,Unique Experience Design Loft: A forest,"This is a gorgeous place. Amazing design,  beautiful views, very industrial and chic. After a long day exploring the city, it is a welcome refuge. The location is great - walking distance to the historic city’s main attractions and near a street with everything that you may need. I’m so glad that we stayed here. Highly recommend and would stay there again.",2022-09-01
53,Unique Experience Design Loft: A forest,"Spent a month here and the apartment was perfect.  Exactly as described and incredibly done.  Loved to sit on the balcony and watch the life on the street.  Recommendations for local bars and restaurants were perfect.  Try the yucca chica at Soreno Moreno or the pizza at Bandido Brewery.  Enjoy the cafes and plazas in the afternoon in the historic center.I would say that a lot of the things mentioned in the comments here are true - street noise or being on third floor of a walk up, for example.  So read and think hard about whether this place is right for you.  None of it was an issue for me and was super happy here, but I could see where some items could be an issue for others.",2022-09-01
54,Cozy apartment with view to Pichincha volcano,"AMAZING STAY, SUPER MODERN AND COMFORTABLE. THE POOL AND HOT TUB ARE ACCESSIBLE BY RESERVATION AND IT HAS A SPA FEEL!!!",2022-09-01
55,Cozy apartment with view to Pichincha volcano,Super nice and modern stay. Everything is amazing. Stayed one night just to sleep and it was the most comfortable sleep we had in Ecuador.,2022-09-01
56,Cozy apartment with view to Pichincha volcano,"Thanks so much to Alejandro and Gabriela for hosting me during my time in Quito. I felt immediately home and the communication was so easy!I absolutely loved the flat and how bright, modern, comfortable and clean it was. The plants make it lively. So, please take care of them too when you stop. The building is conveniently located and so close to good restaurants, cafes, drugstore and ATMs. I also appreciate the security and the lovely souls working at the reception and outside. Currently, there are some construction work going on in the neighbourhood. I would still recommend this place if you are out early and come back by 5pm. Otherwise you would need some earplugs during daytime.I had nonetheless a wonderful stay and I would choose it again for my next visit!All the best to you all!",2022-09-01
57,Cozy apartment with view to Pichincha volcano,Alejandro and Gabriela are grea hosts. The have been super responsive and quick to check information  to help me. The Apartment is locate in a great location near la Carolina and in front of  Drugstore Fybeca opened 24 hours. Great please and cozy. Bed is very confortable and big size.Only inconvenient was that we had to book the pool and jacuzzi everytime we wanted to use it which is not practical but Alejandro and Gabriela made it very smooth by booking our wishes everyday and ensure we had a slot as much as possble. Highly recommend the place. Very safe and secure too!,2022-09-01
58,Cozy apartment with view to Pichincha volcano,"This Appartement is amazing! Do not hesitate to stay here - it has a perfect temperature (which is rare in Quito), the design is wonderful and chic and makes you feel at home at a glimpse. Alejandro is a super responsive host making sure you have everything you need during your stay. The Bildung is new and offers great extras. We will be back for sure!",2022-06-01
59,Cozy apartment with view to Pichincha volcano,"Beautiful apartment in a very nice, safe and quiet neighborhood.",2022-06-01
60,Cozy apartment with view to Pichincha volcano,Great!,2022-05-01
61,Modern Suite in the Most Vibrant Place in Quito!,Very nice apartment and location,2022-10-01
62,Modern Suite in the Most Vibrant Place in Quito!,"I booked with Galo for a week of business in Quito after looking at many other listings. The apartment was cozy, modern, well-equipped, and perfect for my stay. Excellent location a couple blocks from my lawyer's office and with many restaurants and supermarket (megamaxi) in walking distance, right near Carolina park where I went for a nice jog. Building security was very kind, always saying hello, and they were helpful in greeting me and giving me the keys to check in. The space was very clean, and I was comfortable to hang out in the cozy living room watching youtube and netflix on the nice big TV. The bedroom had a great desk space with lamp, big comfy bed, and was about as quiet as one could hope for in the city. Wifi was solid throughout. No complaints at all. The one issue I had was the washing machine not drying my clothes thoroughly, and this was easily solved by air-drying the rest... also Galo responded immediately and said he would get it fixed, and in the meantime he even offered to pay for my laundry service at the laundromat downstairs. Super service, and super happy with the value I received overall. Would definitely stay again.",2022-10-01
63,Modern Suite in the Most Vibrant Place in Quito!,Galo was a great host and he was always available for any request. The place is cozy and well-located. We loved being there!,2022-10-01
64,Modern Suite in the Most Vibrant Place in Quito!,"Second time staying at Galo’s apartment. Because I travel for business most of the time the space, cleanliness, location and all the amenities are perfect. Galo is an excellent host always checking that everything is ok and helping with anything if needed. Totally recommended.",2022-05-01
65,Modern Suite in the Most Vibrant Place in Quito!,"This is the place to be in Quito, I stayed over 4 weeks and only left because no longer in Quito. Perfect location, everything on walking distance, best are of Quito. Safe place and inside all the comfort you need. I have been in many airbnbs, here I found everything in the correct place where you expect it to be. Great and profesional communication with Galo, all highly recommended!",2022-04-01
66,Modern Suite in the Most Vibrant Place in Quito!,"Galo is definitely a superhost. Easy check in and fast responses. A cozy apartment in an excellent location with malls, restaurants and bars walking distance, there are also bars and clubs a couple of mins in an uber (uber is very inexpensive in Quito). The apartment was clean, good wifi and it has nice amenities like washing machine and hair dryer. Extremely safe and the security people very friendly. Carolina Park is a couple of blocks away if you like to exercise. I will stay here if available any time I go back to Quito.",2022-01-01
67,Modern Suite in the Most Vibrant Place in Quito!,I had to check-in around midnight and Galo made it easy and was quick to respond.,2021-12-01
68,Original and modern apartment in the best area,Great apartment with a perfect location in Quito. Very modern style and wonderful interior design make result in a comfortable stay. Communication with Oscar was always fast and helpful. Thanks for staying in your apartment!,2022-10-01
69,Original and modern apartment in the best area,Oscar is a very splendid host. He is quick to communicate and accommodate. Some hosts do the bare minimum to make guests feel welcome but Oscar truly goes above and beyond. Book with Oscar. He is a genuine person and a great host. Thank you again Oscar for a great stay.,2022-10-01
70,Original and modern apartment in the best area,"Beautiful rooftop views. Clean, modern and roomy apartment. We felt like we were close to many attractions. We were close to the local supermarket. We were close to a few bakeries and restaurants. I would recommend and stay here again.",2022-10-01
71,Original and modern apartment in the best area,Everything was perfect! Thank you,2022-09-01
72,Original and modern apartment in the best area,"We enjoyed our stay, thank you.",2022-09-01
73,Original and modern apartment in the best area,The place is in a very convenient location and has a rooftop with a great view of the city. The room is clean and cozy with nice touches.,2022-09-01
74,Original and modern apartment in the best area,Oscar is fast to answer our messages and  he gives a good service.Highly recommended,2022-09-01
75,Original and modern apartment in the best area,"Super place to stay. Highly recommend, with a fantastic restaurant directly across the street (Somos). Thank you!",2022-08-01
76,Original and modern apartment in the best area,"Oscar’s apartment was perfect for us despite our short stay - what beautiful view from the rooftop! Although we missed our chance to use the hot tub, we took full advantage of the washer/dryer and Oscar was quick to respond to all my questions about it. The building is very secure and the location is great. Would definitely recommend.",2022-08-01
77,Original and modern apartment in the best area,Oscar's place was perfect for our stay! The place was very clean and felt very safe with a security guard always at the front desk. Great views from the top floor as well!,2022-08-01
78,Original and modern apartment in the best area,Very clean and super nice!,2022-08-01
79,Original and modern apartment in the best area,Perfect location and perfect placeto stay at.,2022-07-01
80,Original and modern apartment in the best area,We stayed at Oscar’s apartment for a few nights.  The location is great there are several restaurants and stores within walking distance.  The bathrooms did not have any hooks to be able to hang our towels/clothes but other than that our stay was pleasant.,2022-07-01
81,Original and modern apartment in the best area,Oscar was/is a great host!!! Very communicative. The condo was very clean and spacious. One thing I will share for future guests is to MAKE sure if you have someone to visit you while staying in the condo send over their photo ID in order for the security officer at the desk to allow them access. I will book with Oscar again.,2022-07-01
82,HERMOSA SUITE - MARISCAL FOCH,Great place. Very nice apartment. Great stay would definitively recommend.,2022-08-01
83,HERMOSA SUITE - MARISCAL FOCH,Amazing host extremely responsive and this place is AMAZING!,2022-07-01
84,HERMOSA SUITE - MARISCAL FOCH,Great communication,2022-06-01
85,HERMOSA SUITE - MARISCAL FOCH,"Great space! Wifi is about 55-60MBPS. Location is good, everything is comfortable.  Check in simple, plenty of room, sustainably hot shower…also provided soap and shampoos but not sure if that was previous tenant…only negatives are the lighting is a bit strange (I need complete darkness), a curtain doesn’t close all the way, some of the outlets are strangely situated, and it can be cold!",2022-05-01
86,HERMOSA SUITE - MARISCAL FOCH,The place is great. Just close enough to the Old city to be there in a few minutes and far enough for the caos of it to reach you. Also you have everything you need from restaurants to supermarkets really close.,2022-04-01
87,HERMOSA SUITE - MARISCAL FOCH,"amazing spot, wicked fast internet",2022-04-01
88,HERMOSA SUITE - MARISCAL FOCH,"Great apt and building, great location with 2 mini markets, coffee shop nearby and several restauarants on the block.  A great Airbnb experience!",2022-04-01
89,HERMOSA SUITE - MARISCAL FOCH,Very cool … Thank you,2022-10-01
90,HERMOSA SUITE - MARISCAL FOCH,Everything was impeccable. Ivan was always available upon request.,2022-10-01
91,HERMOSA SUITE - MARISCAL FOCH,A privileged place. The view is beautiful and the space comfortable and cozy. I would definitely go back.,2022-10-01
92,HERMOSA SUITE - MARISCAL FOCH,Everything excellent 5 ⭐️ Very comfortable and safe,2022-10-01
93,HERMOSA SUITE - MARISCAL FOCH,great place,2022-09-01
94,HERMOSA SUITE - MARISCAL FOCH,"Everything excellent, I recommend it",2022-08-01
95,HERMOSA SUITE - MARISCAL FOCH,Very comfortable apartment! We loved it!,2022-06-01
96,Modern Conveniences in Central Quito,The host was wonderful helpful and responsive the whole Airbnb experience was terrific,2022-09-01
97,Modern Conveniences in Central Quito,"Check in was easy,door lock was programmed to my chosen code,all facilities were great,no problems or complaints.would book again",2022-08-01
98,Modern Conveniences in Central Quito,"I highly recommend it! It’s my second stay and I love this apartment, it’s view, spectacular building, and safe. I’ll definitely come back, thanks Fabio⭐️⭐️⭐️⭐️⭐️",2022-06-01
99,Modern Conveniences in Central Quito,"tremendous spot. Immaculate cleaning, strong wifi, spacious, and incredible view. The location is also superb, right next to parque carolina, and there are tons of amenities in the complex (gym, pool, etc), along with secure parking. For a long term stay this place is unbeatable, but it’s great for short term as well. One of the best AirBnB experiences I’ve had. Favio is a very attentive and kind host, as well.",2022-06-01
100,Modern Conveniences in Central Quito,"Amazing stay, balcony was huge, views were amazing, and relatively close to everything! Highly recomended!",2022-05-01
101,Modern Conveniences in Central Quito,This apartment is very clean and has a good view. The amenities in the apartment are also very good.,2022-04-01
102,Modern Conveniences in Central Quito,Great place to stay. Great views. Having breakfast and cup of coffee with a viw of the mountain was a great way to start the day. Everything so close by.,2022-03-01
103,Modern Conveniences in Central Quito,"The property got beautiful view, clean environment, easy access to the park and the mercado, and kind host. I definitely recommend this to everybody who visits Quito! Buen viaje!!",2022-01-01
104,Modern Conveniences in Central Quito,"Edifico ONE is my favorite location for airBnB in Quito.  I’ve stayed in different apartments in the building and this is my favorite because of how open and spacious it feels with floor to ceiling windows and sliding glass doors wrapping around the entire corner apartment.  Very clean, responsive and I enjoy the area. It is $3-5 ride to most destinations in Quito and next door to beautiful parque Carolina which has my favorite botanical gardens in the world.  Next door are dozens of food options.  I highly recommend this for travelers who want their own space and privacy.",2021-12-01
105,Modern Conveniences in Central Quito,I am a frequent traveler to Quito and this is by far the best accommodation that I've had.,2021-12-01
106,Modern Conveniences in Central Quito,This apartment it's amazing. the balcony is so big you can see the city from different angles. Bed super comfortable I recommend Favios apartment 100%,2021-11-01
107,Modern Conveniences in Central Quito,"Awesome apartment! Fantastic location, well stocked, clean and quiet. The building is secure and also has a lot of great amenities. The host is very nice and fast to respond to any questions. I would absolutely stay here again!",2021-11-01
108,Modern Conveniences in Central Quito,"Favio’s places never disappoint. Great place, great location, great balcony. I always try to stay at his places first.",2021-10-01
109,Modern Conveniences in Central Quito,"Amazing apartment, better than the picturesI spent 4 weeks living and working remotely in this great apartment. The balcony is huge, the building & location are the best in the city and the WiFi worked flawlessly - I was able to have constant live video calls with perfect quality. I would absolutely stay here again and would recommend this place to anyone.",2021-10-01
110,Great apartment next to the Carolina park,"Great location, very safe building and cozy big apartment. Very walkable area next to Carolina Park. Diego was super quick in responding to our requests.",2022-09-01
111,Great apartment next to the Carolina park,"I specifically focused on the neighborhood surrounding Parque La Carolina because I lived here for 13 months during the first year of the pandemic.It is safe, with convenient access to many shops, restaurants, and services. It's also just a short Uber ride to Quito's historical center and other sights.𝗪𝗛𝗔𝗧 𝗜 𝗟𝗜𝗞𝗘𝗗• This is a remarkably quiet  neighborhood surrounded by a lively part of the city; especially peaceful considering the proximity to Parque La Carolina (3 min. walk) and all the services that are within easy access.• The building is fairly new, modern; nice and secure with key fob required for entry and to operate the elevators.• 24/7 security is standard for this area of Quito; however, the guards here are very helpful and attentive.• The apartment is lovely, quiet, and super clean with a nice urban view from the balcony.• Spacious bathroom and closet with lots of drawers, hangers, and rods. • Well equipped kitchen... with an OVEN, not just a cooktop! Although I didn't use it during my short 2-week stay, this is rare in most new Quito apartments; it's nice to have for a long-term rental.• YAH ! There is a space HEATER. YES ! The nights are cool/cold here, 365 DAYS OF. THE. YEAR. Haha! This is the first place I have stayed in Quito that has one and it is a welcomed --almost essential-- luxury. • Internet speed is fast and the service was consistent with very few disconnects.• Communication with the host was excellent; Diego was very responsive to my questions.𝗪𝗛𝗔𝗧 𝗜 𝗗𝗜𝗗𝗡'𝗧 𝗟𝗜𝗞𝗘• There really is nothing significant that I didn't like about this stay. 𝗕𝗢𝗧𝗧𝗢𝗠 𝗟𝗜𝗡𝗘... I highly recommend this AirBnB! It is the top  of the homes I've enjoyed here. Excellent location and value for the rate. This will be my home in Quito, especially for long-term stays!𝗧𝗥𝗔𝗩𝗘𝗟 & 𝗪𝗢𝗥𝗞 Life WellBeyond 50 • Live An InspiringLocation Independent Life!𝗗𝗶𝗴𝗶𝘁𝗮𝗹 𝗡𝗼𝗺𝗮𝗱𝘀 𝗕𝗲𝘆𝗼𝗻𝗱 𝟱𝟬 ",2022-08-01
112,Great apartment next to the Carolina park,I had another great stay at Diego’s apartment. Simple but perfect,2022-08-01
113,Great apartment next to the Carolina park,This place was a short Uber from everything and it was so nice! I would definitely consider staying here again should I come back to Quito.,2022-08-01
114,Great apartment next to the Carolina park,"I had a great stay at Diego’s apartment.  Great location, super clean and comfortable, lots of space, easy information, cute balcony.   I will definitely try to stay here again next time I am in Quito.  Thanks Diego!",2022-07-01
115,Great apartment next to the Carolina park,"Really nice apartment in a great location. really close to La Carolina Parque, wonderful outdoor space with street food vendors. plenty of restaurants in walking distance even a large shopping Mall. Short cheap Uber ride to the Old city. We stayed 8 days and would be comfortable staying longer. Diego is quick to reply but really didn't have any issues. Definitely recommend his place.",2022-07-01
116,Great apartment next to the Carolina park,Diego is an amazing host. The apartment is nice and cute. Has everything you need and is tucked away on a quiet street in the middle of everything. Diego was so helpful and really supported me during the protests. I am so grateful to have stayed in his place.,2022-06-01
117,Quiet Charming Private View Studio WiFi  Cable 305,"I really enjoyed my stay here. The location was ideal with malls and coffee shops near by. The room was lovely, bright and clean. Check in was very easy.  I would certainly stay here again!",2022-09-01
118,Quiet Charming Private View Studio WiFi  Cable 305,Location is close to everything  supermarket mall  etc ..,2022-05-01
119,Quiet Charming Private View Studio WiFi  Cable 305,"I've written several reviews about Soar's wonderful Quito apartments. I keep coming back, which is proof enough that Soar is a consistently fine host and her apartments check all the right boxes. I look forward to returning during my next visit to Quito. Gracias, Soar!",2022-05-01
120,Quiet Charming Private View Studio WiFi  Cable 305,"The sunlight in the room is very full, the nearby traffic is good, the service of check-in is also very good, and the facilities of the room can satisfy a persion's travel.",2022-03-01
121,Quiet Charming Private View Studio WiFi  Cable 305,"No frills place that was perfect for an affordable night while transiting through Quito since the check in process is so easy. It’s a bit hard to find, it’s the building just before the large Chinese restaurant and I think there is a clinic inside.",2022-01-01
122,Quiet Charming Private View Studio WiFi  Cable 305,"The place is great and the host and communication are exceptional. I stayed in different apartment, even though in the same building. Internet is good, apartment is super clean and has everything necessary.The laundry is on site and is $4.",2021-04-01
123,Quiet Charming Private View Studio WiFi  Cable 305,Great Place! Grate Host!,2020-05-01
124,Quiet Charming Private View Studio WiFi  Cable 305,Great place I recommend it,2022-11-01
125,Quiet Charming Private View Studio WiFi  Cable 305,"A very nice, clean apartment. Perfect for short stays.",2022-10-01
126,Quiet Charming Private View Studio WiFi  Cable 305,A great place. 100% recommended,2022-09-01
127,Quiet Charming Private View Studio WiFi  Cable 305,Excellent service!,2022-09-01
128,Quiet Charming Private View Studio WiFi  Cable 305,"Excellent place, everything impeccable, safe, quiet... definitely the best place!",2022-07-01
129,Quiet Charming Private View Studio WiFi  Cable 305,"excellent, a quiet and safe environment, recommended",2022-06-01
130,Quiet Charming Private View Studio WiFi  Cable 305,Amazing,2022-05-01
131,"Lovely and modern loft, 1-  bedroom, excelent area","Beautiful place and great communication with checking in and out, will definitely go back next stay.",2022-10-01
132,"Lovely and modern loft, 1-  bedroom, excelent area",Everything was amazing!,2022-09-01
133,"Lovely and modern loft, 1-  bedroom, excelent area",I had a great stay here. The apartment is lovely and well-equipped. Checkin was super easy as Juan communicated clearly and proactively. It's a calm neighborhood and the location so close to Parque Carolina is great.,2022-09-01
134,"Lovely and modern loft, 1-  bedroom, excelent area","I’m out of words to describe Juan’s Loft!. Well..let me try!. AMAZING, COZY, CLEAN, BEAUTIFUL and much more!. The loft is just GORGEOUS!, The location is PERFECT!. and the building has great Amenities!, a rooftop with a breathtaking views of Quito!. The building is location in a very Chic part of Quito!, 3 Cute coffee shops with. 2 Blocks away, a Mini Grocery store across the st from the building and restaurants near by!. Juan was a fabulous Host!, very friendly!, helpful! and attentive!. I had a wonderful time!. I will be back for sure!. HIGHLY RECOMMEND!!",2022-09-01
135,"Lovely and modern loft, 1-  bedroom, excelent area","The apartment is amazing: beautiful place, wonderful location and ideal to rest and recharge. I enjoyed making myself some coffee in the morning while enjoying the view. The bed is comfortable. The security guards in the building are very kind and helpful. Juan, the host, was very responsive and accommodating. I recommend this place 100%!",2022-08-01
136,"Lovely and modern loft, 1-  bedroom, excelent area",Great AIRBBNB. Great Host. The light in the apt. is the best part! The view is incredible! Highly recommend. Friendly and calm neighborhood.,2022-06-01
137,"Lovely and modern loft, 1-  bedroom, excelent area","Nice, modern, safe building.  The apartment was clean and comfortable.  Would recommend.",2022-06-01
138,Spectacular Apartment L View WiFi Cable TV 505,"I liked the suite a lot. I highly recommend Dory’s place. I work from home, I wished the internet was a bit faster but it wasn’t too bad either. Good security and close to everything.",2022-11-01
139,Spectacular Apartment L View WiFi Cable TV 505,"I totally recommend the suite. It is not a new building but it is well maintained, clean and very well located. the quality/price ratio is great. I like it. Definitely I’ll come back…",2022-10-01
140,Spectacular Apartment L View WiFi Cable TV 505,I was in Quito visiting for business and Dorys was an amazing host. From the time I arrived until the time I left she was very attentive and responded immediately to any questions and requests I had. The place was very comfortable and the bed was especially comfy. I typically have trouble sleeping in the high altitude but the bed was so inviting I had no problems falling asleep each night. The place was very clean and had all the amenities I needed during my stay. There was a guard that was available 24/7 which was super helpful and I felt very safe in the neighborhood. I would definitely come back and stay with Dorys again. She absolutely made my stay worthwhile. Thank you Dorys!,2022-10-01
141,Spectacular Apartment L View WiFi Cable TV 505,"Amazing apartment. I enjoyed every day. The view is simply amazing, great location, secure place, clean. Soar is super quick if you have any questions or needs. I can highly recommend this place! :)",2022-09-01
142,Spectacular Apartment L View WiFi Cable TV 505,"Very good location. close to the big market Coral, close to the mall and Carolina park. Quiet and nice neighborhoods. Good internet speed, and good for work. Generally, recommended place for living.",2022-06-01
143,Spectacular Apartment L View WiFi Cable TV 505,"Excellent value, perfect location in a safe area not far from Carolina park and some main cafe, mall and restaurant areas. The staff here are really top notch and extra helpful.",2022-04-01
144,Spectacular Apartment L View WiFi Cable TV 505,Soar is one of the most responsive hosts I’ve encountered. She responded within minutes every time I communicated with her. The property was secure with 24 hour security. It’s a comfortable place with everything that you need.,2022-03-01
